CAS #,Field #,Locality,County,Sex,Year,SL,CBL,PL,MSW,MW,ML,MFL,MA,RPL,SSI,RMW,CBL/SL
MAM 34725,RB 5260,"San Francisco, Baker Beach, south of Lobos Creek",San Francisco,Male,2004,231,303.17,130.67,166.08,150.08,209.27,71.15,0.34,0.43,0.55,0.5,1.31
MAM 33097,RB 5206,Ano Nuevo Island,San Mateo,Male,2003,222,283.61,121.06,158.05,135.49,197.79,74.57,0.38,0.43,0.56,0.48,1.28
MAM 33098,RB 5207,Ano Nuevo Island,San Mateo,Male,2003,215.9,281.04,118.4,161.61,150.42,195.93,66.42,0.34,0.42,0.58,0.54,NA
MAM 34721,RB 5241,Point Reyes National Seashore,Marin,Male,2004,251.5,298.5,125.59,168.74,148.54,212.47,72.94,0.34,0.42,0.57,0.5,1.19
MAM 33099,RB 5217,Ano Nuevo Island,San Mateo,Male,2003,208.3,279.79,122.75,159.42,140.38,193.69,62.52,0.32,0.44,0.57,0.5,NA
MAM 34720,RB 5176,"Richmond Bay Bridge, under the bridge, north side of east span, near Caltrans yard",Contra Costa,Male,2003,228.5,289.58,118.9,173.87,155.2,199.81,66.13,0.33,0.41,0.6,0.54,1.27
MAM 33095,RB 5140,"Pacifica, Pacific Manor Beach",San Mateo,Male,2003,236,297.93,128.3,173.69,150.68,211.96,76.98,0.36,0.43,0.58,0.51,1.26
MAM 33096,RB 5146,"Moss Beach, Fitzgerald Marine Reserve",San Mateo,Male,2003,254,303.56,129.9,177.8,163.74,213.66,85.76,0.4,0.43,0.59,0.54,1.2
MAM 34718,RB 5145,"Martinez, directly under Martinez - Benicia Bridge, south shore",Contra Costa,Male,2003,242.5,283.92,119.08,163.88,149.31,195,65.88,0.34,0.42,0.58,0.53,1.17
MAM 34719,RB 5150,"Point Reyes National Seashore, Kehoe Beach",Marin,Male,2003,NA,295.98,120.49,172.31,153.87,206.19,70.05,0.34,0.41,0.58,0.52,NA
MAM 34717,RB 5143,"Half Moon Bay, Venice State Beach",San Mateo,Male,2003,244,293.09,121.95,168.35,146.76,204.18,75.2,0.37,0.42,0.57,0.5,1.2
MAM 33094,RB 5134,Ano Nuevo State Reserve,San Mateo,Male,2003,241,285.16,128.98,175.79,150.65,203.12,68.23,0.34,0.45,0.62,0.53,1.18
MAM 34716,RB 5118,Ano Nuevo Point area,San Mateo,Male,2003,226,291.81,124.72,158.84,148.29,208.15,68.65,0.33,0.43,0.54,0.51,1.29
MAM 34715,RB 5116,"Stinson Beach, Seadrift",Marin,Male,2003,219,288.77,110.55,161.01,145.51,202.46,69.72,0.34,0.38,0.56,0.5,1.32
MAM 34710,RB 5086,"Berkeley, Golden Gate Fields, race track south end",Alameda,Male,2003,239,290.35,125.32,156.61,135.66,199.42,71.06,0.36,0.43,0.54,0.47,1.21
MAM 34713,RB 5101,Ano Nuevo State Reserve,San Mateo,Male,2003,258,310,136.33,169.26,153.59,223.79,80.41,0.36,0.44,0.55,0.5,1.2
MAM 34714,RB 5111,"Black Sand Beach, Marin Headlands, Golden Gate National Recreation Area",Marin,Male,2003,241,289.64,118.53,159.62,144.77,202.53,67.07,0.33,0.41,0.55,0.5,1.2
MAM 34709,RB 5081,Tomales Bay; Marshall,Marin,Male,2003,224,291.84,123.99,157.89,143.16,205.45,64.53,0.31,0.42,0.54,0.49,1.3
MAM 34708,RB 5050,"San Francisco, Baker Beach",San Francisco,Male,2003,223.5,295.1,124.47,160.23,147.29,205.42,65.16,0.32,0.42,0.54,0.5,1.32
MAM 34711,RB 5089,"San Francisco, Ocean Beach at Ulloa Street",San Francisco,Male,2003,232,284.73,117.58,163.37,150.09,198.2,73.9,0.37,0.41,0.57,0.53,1.23
MAM 34712,RB 5099,"San Francisco, Crissy Field",San Francisco,Male,2003,241,299.29,130.79,172.26,151.92,213.24,72.02,0.34,0.44,0.58,0.51,1.24
